IM,Residuals_Sigma,Rresiduals_Mean,R^2_train,R^2_test,Mse_train,Mse_test
PGA,0.336807765,0.000586317,0.901081942,0.899410546,0.115542737,0.117369583
PGV,0.297415637,-0.0060594,0.92557786,0.923080382,0.089238073,0.09199066
PGD,0.328039175,-0.007574777,0.927427451,0.92604797,0.107756729,0.109489144
IA,0.572832796,-0.02405389,0.918831298,0.916400477,0.330230337,0.33956582
SA(0.01),0.33703748,0.000716301,0.901027422,0.899357848,0.115701868,0.117529541
SA(0.025),0.339125318,0.001351881,0.89998553,0.898324715,0.117167173,0.119009571
SA(0.04),0.348850422,0.000902794,0.894483382,0.892985836,0.1245712,0.126267442
SA(0.05),0.357531352,0.00055013,0.890532572,0.889047911,0.130870634,0.132569614
SA(0.07),0.370627201,-0.00123291,0.885642693,0.884155852,0.140047181,0.141765875
SA(0.1),0.386543955,0.0017171,0.878360443,0.876805398,0.151678228,0.153480992
SA(0.15),0.378618442,-0.007105087,0.882411479,0.880912302,0.145136109,0.146785235
SA(0.2),0.360489353,-0.006769761,0.889396021,0.887790545,0.131077728,0.132814631
SA(0.25),0.34646557,-0.008904735,0.894847044,0.892559041,0.121127279,0.123535961
SA(0.3),0.33729665,-0.006204933,0.899533903,0.897216394,0.114520098,0.116929647
SA(0.35),0.334420192,-0.004589946,0.900451525,0.89799282,0.112246521,0.114786911
SA(0.4),0.332214722,-0.00533066,0.901520862,0.899247932,0.110703804,0.113065137
SA(0.45),0.330982179,-0.011214299,0.902212518,0.899850462,0.11005453,0.112469891
SA(0.5),0.327794275,-0.017185908,0.904238225,0.901711472,0.10800166,0.110519792
SA(0.6),0.325962845,-0.021464129,0.905948917,0.903124143,0.106796776,0.109689091
SA(0.7),0.326968597,-0.027093258,0.90601856,0.903158673,0.107724565,0.110671577
SA(0.75),0.328602118,-0.029643299,0.905163444,0.902303477,0.109159678,0.112054582
SA(0.8),0.327797513,-0.02866631,0.905530056,0.902553524,0.108814374,0.111810277
SA(0.9),0.329523754,-0.030415228,0.905377862,0.90251939,0.109857856,0.112815484
SA(1.0),0.331699156,-0.032908744,0.904907363,0.901645984,0.11187761,0.115311652
SA(1.2),0.334139258,-0.025619408,0.906302543,0.903264859,0.1129108,0.116183117
SA(1.4),0.337242342,-0.022973631,0.906384107,0.903105165,0.115073188,0.118673031
SA(1.6),0.337912031,-0.018448656,0.908343523,0.90523473,0.114995718,0.118606628
SA(1.8),0.33997057,-0.013865301,0.909412508,0.906205935,0.116117798,0.119995178
SA(2.0),0.340728672,-0.012560657,0.910804607,0.907939264,0.116682002,0.120175536
SA(3.0),0.351079575,-0.008143066,0.912391243,0.910576636,0.123535581,0.125770602
SA(4.0),0.353403095,-0.003912737,0.914183949,0.912985341,0.125122358,0.126597545
