IM,between_event,between_site,within_event/site,within_event,total_sigma,lnL,R^2_train,R^2_test,Mse_train,Mse_test
PGA,0.208528604,0.175297418,0.196539531,0.263357118,0.335918369,-136.397208,0.90103848,0.895052226,0.115499683,0.122785255
PGV,0.205317618,0.151828635,0.187791668,0.241490465,0.316974713,78.20739158,0.923016685,0.915414011,0.092445284,0.100839511
PGD,0.262154881,0.180693128,0.180741437,0.255572835,0.366118362,-6.31779554,0.922121217,0.914569634,0.116122752,0.124786772
IA,0.374848314,0.316951225,0.315446038,0.44717366,0.58350282,-2106.31353,0.918134037,0.912433221,0.332939953,0.356361568
SA(0.01),0.20865762,0.175520494,0.196590866,0.263543948,0.336144931,-138.0879739,0.900957452,0.895004533,0.11568252,0.122972116
SA(0.025),0.208360333,0.177897592,0.198441959,0.26650847,0.338290989,-172.5022954,0.899734571,0.893876741,0.117341563,0.124618851
SA(0.04),0.20738685,0.188173159,0.202188589,0.276205292,0.345396394,-255.7939399,0.895098982,0.89046816,0.123670526,0.129837349
SA(0.05),0.210330323,0.193033983,0.20597504,0.28229034,0.352032215,-330.517996,0.891371452,0.88792591,0.129601389,0.134871528
SA(0.07),0.220655999,0.201539122,0.206982088,0.288893756,0.363522588,-387.864115,0.885758266,0.883430228,0.139680564,0.143391281
SA(0.1),0.227214083,0.212058257,0.20759617,0.296757265,0.373752745,-436.815722,0.877045898,0.876138208,0.153100401,0.154974371
SA(0.15),0.22122537,0.204870119,0.21089783,0.294023231,0.367954243,-453.5152534,0.881914562,0.877324345,0.145553514,0.151811346
SA(0.2),0.214967913,0.19605618,0.208730081,0.286367373,0.358074679,-387.3824057,0.889624754,0.878656365,0.130373269,0.14535673
SA(0.25),0.21252181,0.187962366,0.208817746,0.280953203,0.352278614,-361.9562614,0.895412568,0.881071476,0.120469444,0.136711821
SA(0.3),0.21040966,0.178971526,0.210472616,0.276277993,0.347277633,-356.9722291,0.900885864,0.883468876,0.112989992,0.13257508
SA(0.35),0.211916952,0.178809644,0.208551116,0.274711588,0.346951367,-331.6868911,0.901321726,0.882300452,0.111465812,0.13158901
SA(0.4),0.214666305,0.180058466,0.206000963,0.273600891,0.347762951,-303.3553548,0.901263052,0.882721669,0.111015916,0.131610408
SA(0.45),0.21513997,0.181005455,0.203878951,0.272634556,0.347296427,-275.7865549,0.901779643,0.886731315,0.110539205,0.1274295
SA(0.5),0.216311964,0.18317833,0.201550705,0.272354525,0.347804332,-249.7387776,0.903073926,0.890080211,0.109483868,0.123159789
SA(0.6),0.21674762,0.182358668,0.199520716,0.270302053,0.346471833,-217.9866214,0.90372067,0.893205461,0.109522238,0.120405823
SA(0.7),0.219142575,0.187494551,0.195569001,0.270927003,0.348460771,-177.6926686,0.904307674,0.896376145,0.11017108,0.11668925
SA(0.75),0.221003407,0.191081539,0.195688017,0.273506772,0.35163683,-193.2941061,0.903532149,0.893698171,0.111695051,0.119492725
SA(0.8),0.223185983,0.193228746,0.194119163,0.273897057,0.35331513,-179.7938832,0.903463042,0.893029023,0.111834981,0.120426498
SA(0.9),0.222612663,0.201225045,0.19069668,0.277230486,0.355546256,-148.975278,0.90354525,0.895604506,0.112489194,0.119082592
SA(1.0),0.225365293,0.204915568,0.18877188,0.278613016,0.358350008,-135.0254842,0.90368141,0.896819119,0.113726035,0.1197045
SA(1.2),0.230399573,0.202926835,0.189143908,0.277407135,0.360608766,-144.8278486,0.904092119,0.898617734,0.116110235,0.119972721
SA(1.4),0.231079675,0.208433363,0.186548475,0.27972272,0.362825876,-121.3951312,0.902310222,0.895549338,0.120697699,0.125801623
SA(1.6),0.232411762,0.212844386,0.184674714,0.281793333,0.365270735,-107.0413137,0.904306322,0.898085891,0.12056753,0.125764713
SA(1.8),0.23286397,0.219242288,0.182274286,0.285115935,0.368125963,-87.98347901,0.906209406,0.900342457,0.120649189,0.125987366
SA(2.0),0.236475774,0.220332391,0.181736843,0.28561275,0.370803768,-89.39069013,0.906879278,0.900385909,0.122341298,0.128150359
SA(3.0),0.25593385,0.215964479,0.182304422,0.282622643,0.38128427,-122.1673459,0.909813163,0.902032066,0.127598271,0.136462361
SA(4.0),0.265975478,0.204192734,0.188058561,0.277598082,0.384452403,-196.540619,0.912221876,0.902088656,0.128208965,0.14189364
